******************************* K-fold cross-validation ： 1 ******************************* 
C :9 , Sigma: 0.2 , resultLoss: 0.15741 , Support Vectors: 50
C :9 , Sigma: 0.3 , resultLoss: 0.15741 , Support Vectors: 49
C :9 , Sigma: 0.4 , resultLoss: 0.15741 , Support Vectors: 51
C :9 , Sigma: 0.5 , resultLoss: 0.15741 , Support Vectors: 53
C :9 , Sigma: 0.6 , resultLoss: 0.15741 , Support Vectors: 56
C :9 , Sigma: 0.7 , resultLoss: 0.15741 , Support Vectors: 57
C :9 , Sigma: 0.8 , resultLoss: 0.15741 , Support Vectors: 60
C :9 , Sigma: 0.9 , resultLoss: 0.15741 , Support Vectors: 62
C :9 , Sigma: 1 , resultLoss: 0.15741 , Support Vectors: 62
C :10 , Sigma: 0.1 , resultLoss: 0.15741 , Support Vectors: 56
C :10 , Sigma: 0.2 , resultLoss: 0.15741 , Support Vectors: 51
C :10 , Sigma: 0.3 , resultLoss: 0.15741 , Support Vectors: 49
C :10 , Sigma: 0.4 , resultLoss: 0.15741 , Support Vectors: 51
C :10 , Sigma: 0.5 , resultLoss: 0.15741 , Support Vectors: 52
C :10 , Sigma: 0.6 , resultLoss: 0.15741 , Support Vectors: 56
C :10 , Sigma: 0.7 , resultLoss: 0.15741 , Support Vectors: 57
C :10 , Sigma: 0.8 , resultLoss: 0.15741 , Support Vectors: 58
C :10 , Sigma: 0.9 , resultLoss: 0.15741 , Support Vectors: 60
C :10 , Sigma: 1 , resultLoss: 0.15741 , Support Vectors: 63
C :11 , Sigma: 0.1 , resultLoss: 0.15741 , Support Vectors: 56
C :11 , Sigma: 0.2 , resultLoss: 0.15741 , Support Vectors: 51
C :11 , Sigma: 0.3 , resultLoss: 0.15741 , Support Vectors: 49
C :11 , Sigma: 0.4 , resultLoss: 0.15741 , Support Vectors: 50
C :11 , Sigma: 0.5 , resultLoss: 0.15741 , Support Vectors: 52
C :11 , Sigma: 0.6 , resultLoss: 0.15741 , Support Vectors: 54
C :11 , Sigma: 0.7 , resultLoss: 0.15741 , Support Vectors: 57
C :11 , Sigma: 0.8 , resultLoss: 0.15741 , Support Vectors: 58
C :11 , Sigma: 0.9 , resultLoss: 0.15741 , Support Vectors: 60
C :11 , Sigma: 1 , resultLoss: 0.15741 , Support Vectors: 63
C :12 , Sigma: 0.1 , resultLoss: 0.15741 , Support Vectors: 54
C :12 , Sigma: 0.2 , resultLoss: 0.15741 , Support Vectors: 52
C :12 , Sigma: 0.3 , resultLoss: 0.15741 , Support Vectors: 49
C :12 , Sigma: 0.4 , resultLoss: 0.15741 , Support Vectors: 50
C :12 , Sigma: 0.5 , resultLoss: 0.15741 , Support Vectors: 52
C :12 , Sigma: 0.6 , resultLoss: 0.15741 , Support Vectors: 54
C :12 , Sigma: 0.7 , resultLoss: 0.15741 , Support Vectors: 57
C :12 , Sigma: 0.8 , resultLoss: 0.15741 , Support Vectors: 57
C :12 , Sigma: 0.9 , resultLoss: 0.15741 , Support Vectors: 59
C :12 , Sigma: 1 , resultLoss: 0.15741 , Support Vectors: 60
C :13 , Sigma: 0.1 , resultLoss: 0.15741 , Support Vectors: 54
C :13 , Sigma: 0.2 , resultLoss: 0.15741 , Support Vectors: 52
C :13 , Sigma: 0.3 , resultLoss: 0.15741 , Support Vectors: 49
C :13 , Sigma: 0.4 , resultLoss: 0.15741 , Support Vectors: 50
C :13 , Sigma: 0.5 , resultLoss: 0.15741 , Support Vectors: 50
C :13 , Sigma: 0.6 , resultLoss: 0.15741 , Support Vectors: 54
C :13 , Sigma: 0.7 , resultLoss: 0.15741 , Support Vectors: 57
C :13 , Sigma: 0.8 , resultLoss: 0.15741 , Support Vectors: 57
C :13 , Sigma: 0.9 , resultLoss: 0.15741 , Support Vectors: 58
C :13 , Sigma: 1 , resultLoss: 0.15741 , Support Vectors: 60
C :14 , Sigma: 0.1 , resultLoss: 0.15741 , Support Vectors: 53
C :14 , Sigma: 0.2 , resultLoss: 0.15741 , Support Vectors: 52
C :14 , Sigma: 0.3 , resultLoss: 0.15741 , Support Vectors: 48
C :14 , Sigma: 0.4 , resultLoss: 0.15741 , Support Vectors: 50
C :14 , Sigma: 0.5 , resultLoss: 0.15741 , Support Vectors: 50
C :14 , Sigma: 0.6 , resultLoss: 0.15741 , Support Vectors: 54
C :14 , Sigma: 0.7 , resultLoss: 0.15741 , Support Vectors: 55
C :14 , Sigma: 0.8 , resultLoss: 0.15741 , Support Vectors: 57
C :14 , Sigma: 0.9 , resultLoss: 0.15741 , Support Vectors: 58
C :14 , Sigma: 1 , resultLoss: 0.15741 , Support Vectors: 59
C :15 , Sigma: 0.1 , resultLoss: 0.15741 , Support Vectors: 53
C :15 , Sigma: 0.2 , resultLoss: 0.15741 , Support Vectors: 52
C :15 , Sigma: 0.3 , resultLoss: 0.15741 , Support Vectors: 48
C :15 , Sigma: 0.4 , resultLoss: 0.15741 , Support Vectors: 50
C :15 , Sigma: 0.5 , resultLoss: 0.15741 , Support Vectors: 50
C :15 , Sigma: 0.6 , resultLoss: 0.15741 , Support Vectors: 53
C :15 , Sigma: 0.7 , resultLoss: 0.15741 , Support Vectors: 55
C :15 , Sigma: 0.8 , resultLoss: 0.15741 , Support Vectors: 57
C :15 , Sigma: 0.9 , resultLoss: 0.15741 , Support Vectors: 57
C :15 , Sigma: 1 , resultLoss: 0.15741 , Support Vectors: 59
C :16 , Sigma: 0.1 , resultLoss: 0.15741 , Support Vectors: 53
C :16 , Sigma: 0.2 , resultLoss: 0.15741 , Support Vectors: 52
C :16 , Sigma: 0.3 , resultLoss: 0.15741 , Support Vectors: 48
C :16 , Sigma: 0.4 , resultLoss: 0.15741 , Support Vectors: 49
C :16 , Sigma: 0.5 , resultLoss: 0.15741 , Support Vectors: 50
C :16 , Sigma: 0.6 , resultLoss: 0.15741 , Support Vectors: 53
C :16 , Sigma: 0.7 , resultLoss: 0.15741 , Support Vectors: 54
C :16 , Sigma: 0.8 , resultLoss: 0.15741 , Support Vectors: 55
C :16 , Sigma: 0.9 , resultLoss: 0.15741 , Support Vectors: 57
C :16 , Sigma: 1 , resultLoss: 0.15741 , Support Vectors: 59
C :17 , Sigma: 0.1 , resultLoss: 0.15741 , Support Vectors: 51
C :17 , Sigma: 0.2 , resultLoss: 0.14815 , Support Vectors: 52
C :17 , Sigma: 0.3 , resultLoss: 0.14815 , Support Vectors: 48
C :17 , Sigma: 0.4 , resultLoss: 0.14815 , Support Vectors: 49
C :17 , Sigma: 0.5 , resultLoss: 0.14815 , Support Vectors: 50
C :17 , Sigma: 0.6 , resultLoss: 0.14815 , Support Vectors: 52
C :17 , Sigma: 0.7 , resultLoss: 0.14815 , Support Vectors: 53
C :17 , Sigma: 0.8 , resultLoss: 0.14815 , Support Vectors: 55
C :17 , Sigma: 0.9 , resultLoss: 0.14815 , Support Vectors: 57
C :17 , Sigma: 1 , resultLoss: 0.14815 , Support Vectors: 58
C :18 , Sigma: 0.1 , resultLoss: 0.14815 , Support Vectors: 51
C :18 , Sigma: 0.2 , resultLoss: 0.14815 , Support Vectors: 52
C :18 , Sigma: 0.3 , resultLoss: 0.14815 , Support Vectors: 48
C :18 , Sigma: 0.4 , resultLoss: 0.14815 , Support Vectors: 48
C :18 , Sigma: 0.5 , resultLoss: 0.14815 , Support Vectors: 50
C :18 , Sigma: 0.6 , resultLoss: 0.14815 , Support Vectors: 52
C :18 , Sigma: 0.7 , resultLoss: 0.14815 , Support Vectors: 53
C :18 , Sigma: 0.8 , resultLoss: 0.14815 , Support Vectors: 55
C :18 , Sigma: 0.9 , resultLoss: 0.14815 , Support Vectors: 56
C :18 , Sigma: 1 , resultLoss: 0.14815 , Support Vectors: 57
C :19 , Sigma: 0.1 , resultLoss: 0.14815 , Support Vectors: 51
C :19 , Sigma: 0.2 , resultLoss: 0.14815 , Support Vectors: 52
C :19 , Sigma: 0.3 , resultLoss: 0.14815 , Support Vectors: 48
C :19 , Sigma: 0.4 , resultLoss: 0.14815 , Support Vectors: 48
C :19 , Sigma: 0.5 , resultLoss: 0.14815 , Support Vectors: 50
C :19 , Sigma: 0.6 , resultLoss: 0.14815 , Support Vectors: 52
C :19 , Sigma: 0.7 , resultLoss: 0.14815 , Support Vectors: 53
C :19 , Sigma: 0.8 , resultLoss: 0.14815 , Support Vectors: 55
C :19 , Sigma: 0.9 , resultLoss: 0.14815 , Support Vectors: 56
C :19 , Sigma: 1 , resultLoss: 0.14815 , Support Vectors: 57
C :20 , Sigma: 0.1 , resultLoss: 0.14815 , Support Vectors: 51
C :20 , Sigma: 0.2 , resultLoss: 0.14815 , Support Vectors: 53
C :20 , Sigma: 0.3 , resultLoss: 0.14815 , Support Vectors: 49
C :20 , Sigma: 0.4 , resultLoss: 0.14815 , Support Vectors: 48
C :20 , Sigma: 0.5 , resultLoss: 0.14815 , Support Vectors: 50
C :20 , Sigma: 0.6 , resultLoss: 0.14815 , Support Vectors: 52
C :20 , Sigma: 0.7 , resultLoss: 0.14815 , Support Vectors: 53
C :20 , Sigma: 0.8 , resultLoss: 0.14815 , Support Vectors: 55
C :20 , Sigma: 0.9 , resultLoss: 0.14815 , Support Vectors: 56
C :20 , Sigma: 1 , resultLoss: 0.14815 , Support Vectors: 57
C :1 , Sigma: 0.1 , resultLoss: 100 , Support Vectors: 49
C :1 , Sigma: 0.2 , resultLoss: 0.12963 , Support Vectors: 46
C :1 , Sigma: 0.3 , resultLoss: 0.12963 , Support Vectors: 51
C :1 , Sigma: 0.4 , resultLoss: 0.12963 , Support Vectors: 57
C :1 , Sigma: 0.5 , resultLoss: 0.12963 , Support Vectors: 62
C :1 , Sigma: 0.6 , resultLoss: 0.12963 , Support Vectors: 63
C :1 , Sigma: 0.7 , resultLoss: 0.12963 , Support Vectors: 62
C :1 , Sigma: 0.8 , resultLoss: 0.12963 , Support Vectors: 62
C :1 , Sigma: 0.9 , resultLoss: 0.12963 , Support Vectors: 62
C :1 , Sigma: 1 , resultLoss: 0.12963 , Support Vectors: 62
C :2 , Sigma: 0.1 , resultLoss: 0.12963 , Support Vectors: 46
C :2 , Sigma: 0.2 , resultLoss: 0.12037 , Support Vectors: 41
C :2 , Sigma: 0.3 , resultLoss: 0.12037 , Support Vectors: 45
C :2 , Sigma: 0.4 , resultLoss: 0.12037 , Support Vectors: 50
C :2 , Sigma: 0.5 , resultLoss: 0.12037 , Support Vectors: 55
C :2 , Sigma: 0.6 , resultLoss: 0.12037 , Support Vectors: 59
C :2 , Sigma: 0.7 , resultLoss: 0.12037 , Support Vectors: 62
C :2 , Sigma: 0.8 , resultLoss: 0.12037 , Support Vectors: 62
C :2 , Sigma: 0.9 , resultLoss: 0.12037 , Support Vectors: 62
C :2 , Sigma: 1 , resultLoss: 0.12037 , Support Vectors: 62
C :3 , Sigma: 0.1 , resultLoss: 0.12037 , Support Vectors: 42
C :3 , Sigma: 0.2 , resultLoss: 0.12037 , Support Vectors: 41
C :3 , Sigma: 0.3 , resultLoss: 0.12037 , Support Vectors: 43
C :3 , Sigma: 0.4 , resultLoss: 0.12037 , Support Vectors: 46
C :3 , Sigma: 0.5 , resultLoss: 0.12037 , Support Vectors: 50
C :3 , Sigma: 0.6 , resultLoss: 0.12037 , Support Vectors: 54
C :3 , Sigma: 0.7 , resultLoss: 0.12037 , Support Vectors: 57
C :3 , Sigma: 0.8 , resultLoss: 0.12037 , Support Vectors: 61
