******************************* K-fold cross-validation ： 1 ******************************* 
C : 6 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 56
C : 6 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 50
C : 6 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 46
C : 7 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 54
C : 7 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 48
C : 7 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 46
C : 8 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 53
C : 8 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 48
C : 8 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 45
C : 9 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 50
C : 9 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 47
C : 9 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 45
C : 10 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 51
C : 10 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 46
C : 10 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 42
C : 11 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 50
C : 11 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 46
C : 11 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 42
C : 12 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 50
C : 12 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 46
C : 12 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 42
C : 13 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 49
C : 13 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 45
C : 13 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 41
C : 14 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 48
C : 14 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 45
C : 14 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 40
C : 15 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 48
C : 15 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 44
C : 15 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 40
C : 16 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 48
C : 16 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 44
C : 16 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 40
C : 17 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 48
C : 17 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 44
C : 17 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 40
C : 18 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 47
C : 18 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 43
C : 18 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 39
C : 19 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 47
C : 19 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 43
C : 19 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 39
C : 20 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 47
C : 20 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 44
C : 20 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 39
******************************* K-fold cross-validation ： 2 ******************************* 
C : 1 , PolynomialOrder: 2 , resultLoss: 100 , Support Vectors: 61
C : 1 , PolynomialOrder: 3 , resultLoss: 0.27778 , Support Vectors: 62
C : 1 , PolynomialOrder: 4 , resultLoss: 0.27778 , Support Vectors: 61
C : 2 , PolynomialOrder: 2 , resultLoss: 0.27778 , Support Vectors: 61
C : 2 , PolynomialOrder: 3 , resultLoss: 0.27778 , Support Vectors: 62
C : 2 , PolynomialOrder: 4 , resultLoss: 0.27778 , Support Vectors: 61
C : 3 , PolynomialOrder: 2 , resultLoss: 0.25 , Support Vectors: 61
C : 3 , PolynomialOrder: 3 , resultLoss: 0.25 , Support Vectors: 62
C : 3 , PolynomialOrder: 4 , resultLoss: 0.24074 , Support Vectors: 59
