C :9 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 62
C :9 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 65
C :9 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 67
C :9 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 69
C :9 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 72
C :9 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 73
C :10 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 65
C :10 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 59
C :10 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 58
C :10 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 60
C :10 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 62
C :10 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 63
C :10 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 67
C :10 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 68
C :10 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 70
C :10 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 73
C :11 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 66
C :11 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 59
C :11 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 57
C :11 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 60
C :11 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 61
C :11 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 62
C :11 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 65
C :11 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 67
C :11 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 69
C :11 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 72
C :12 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 65
C :12 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 58
C :12 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 57
C :12 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 59
C :12 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 61
C :12 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 62
C :12 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 65
C :12 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 66
C :12 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 69
C :12 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 71
C :13 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 64
C :13 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 60
C :13 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 57
C :13 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 59
C :13 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 61
C :13 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 62
C :13 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 64
C :13 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 66
C :13 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 68
C :13 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 70
C :14 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 64
C :14 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 60
C :14 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 57
C :14 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 60
C :14 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 61
C :14 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 63
C :14 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 63
C :14 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 65
C :14 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 68
C :14 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 69
C :15 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 64
C :15 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 61
C :15 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 57
C :15 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 59
C :15 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 60
C :15 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 61
C :15 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 63
C :15 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 65
C :15 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 66
C :15 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 69
